Long,Short
HAWKS,ATL
CELTICS,BOS
NETS,BKN
HORNETS,CHA
BULLS,CHI
CAVALIERS,CLE
MAVERICKS,DAL
NUGGETS,DEN
PISTONS,DET
WARRIORS,GSW
ROCKETS,HOU
PACERS,IND
CLIPPERS,LAC
LAKERS,LAL
GRIZZLIES,MEM
HEAT,MIA
BUCKS,MIL
TIMBERWOLVES,MIN
PELICANS,NOP
KNICKS,NYK
THUNDER,OKC
MAGIC,ORL
76ERS,PHI
SUNS,PHX
BLAZERS,POR
KINGS,SAC
SPURS,SAS
RAPTORS,TOR
JAZZ,UTA
WIZARDS,WAS
